komentar,sentimen
Parkiran kondisi sangat baik,positif
WiFi cukup bagus dan terawat,positif
Parkiran kondisi sangat baik,positif
Perpustakaan bersih dan enak digunakan,positif
Ruang Kelas cukup bagus dan terawat,positif
Kamar Mandi kotor dan kurang terawat,negatif
Perpustakaan kondisi sangat baik,positif
Parkiran sering rusak dan tidak nyaman,negatif
Lingkungan kotor dan kurang terawat,negatif
Kamar Mandi sangat buruk dan tidak layak,negatif
WiFi fasilitasnya memadai untuk belajar,positif
Ruang Kelas sangat bersih dan nyaman,positif
WiFi perlu peningkatan ke depan,netral
WiFi kondisi lumayan,netral
Lingkungan bau tidak sedap dan kotor,negatif
Ruang Kelas kurang perawatan dari kampus,negatif
Perpustakaan cukup untuk kebutuhan mahasiswa,netral
Perpustakaan sangat bersih dan nyaman,positif
Ruang Kelas sangat buruk dan tidak layak,negatif
Ruang Kelas standar seperti biasanya,netral
Lingkungan kondisi sangat baik,positif
WiFi fasilitasnya memadai untuk belajar,positif
Kamar Mandi kurang perawatan dari kampus,negatif
Parkiran wifi sering lambat dan putus-putus,negatif
Parkiran kondisi sangat baik,positif
Kamar Mandi bersih dan enak digunakan,positif
WiFi kondisi lumayan,netral
Parkiran kurang perawatan dari kampus,negatif
WiFi standar seperti biasanya,netral
Kamar Mandi cukup untuk kebutuhan mahasiswa,netral
Lingkungan cukup bagus dan terawat,positif
Perpustakaan cukup untuk kebutuhan mahasiswa,netral
Kamar Mandi bau tidak sedap dan kotor,negatif
Parkiran sangat buruk dan tidak layak,negatif
Kamar Mandi akses mudah dan nyaman,positif
Perpustakaan akses mudah dan nyaman,positif
Lingkungan tidak terlalu buruk dan tidak terlalu baik,netral
WiFi cukup bagus dan terawat,positif
Perpustakaan kotor dan kurang terawat,negatif
Ruang Kelas cukup bagus dan terawat,positif
Parkiran kotor dan kurang terawat,negatif
Lingkungan bersih dan enak digunakan,positif
Perpustakaan akses mudah dan nyaman,positif
Ruang Kelas kotor dan kurang terawat,negatif
Parkiran cukup untuk kebutuhan mahasiswa,netral
Parkiran fasilitasnya memadai untuk belajar,positif
Lingkungan sangat bersih dan nyaman,positif
Parkiran cukup untuk kebutuhan mahasiswa,netral
Perpustakaan perlu peningkatan ke depan,netral
Ruang Kelas cukup untuk kebutuhan mahasiswa,netral
Parkiran sering rusak dan tidak nyaman,negatif
Kamar Mandi cukup bagus dan terawat,positif
Perpustakaan perlu peningkatan ke depan,netral
Ruang Kelas bau tidak sedap dan kotor,negatif
Ruang Kelas fasilitasnya memadai untuk belajar,positif
WiFi cukup bagus dan terawat,positif
Perpustakaan standar seperti biasanya,netral
Parkiran kotor dan kurang terawat,negatif
Perpustakaan biasa saja tidak terlalu bagus,netral
Parkiran wifi sering lambat dan putus-putus,negatif
Kamar Mandi akses mudah dan nyaman,positif
Lingkungan perlu peningkatan ke depan,netral
Parkiran kurang perawatan dari kampus,negatif
WiFi kondisi sangat baik,positif
Parkiran akses mudah dan nyaman,positif
Lingkungan cukup bagus dan terawat,positif
Ruang Kelas akses mudah dan nyaman,positif
Perpustakaan cukup bagus dan terawat,positif
Ruang Kelas kondisi sangat baik,positif
Ruang Kelas sangat bersih dan nyaman,positif
WiFi cukup bagus dan terawat,positif
WiFi sering rusak dan tidak nyaman,negatif
Perpustakaan akses mudah dan nyaman,positif
Perpustakaan bau tidak sedap dan kotor,negatif
Lingkungan sangat bersih dan nyaman,positif
Parkiran bau tidak sedap dan kotor,negatif
Lingkungan kurang perawatan dari kampus,negatif
Ruang Kelas kurang perawatan dari kampus,negatif
Ruang Kelas kondisi sangat baik,positif
WiFi standar seperti biasanya,netral
Kamar Mandi akses mudah dan nyaman,positif
Lingkungan cukup bagus dan terawat,positif
WiFi kotor dan kurang terawat,negatif
Lingkungan perlu peningkatan ke depan,netral
Ruang Kelas akses mudah dan nyaman,positif
Ruang Kelas biasa saja tidak terlalu bagus,netral
Kamar Mandi bau tidak sedap dan kotor,negatif
Kamar Mandi standar seperti biasanya,netral
Kamar Mandi bersih dan enak digunakan,positif
WiFi tidak terlalu buruk dan tidak terlalu baik,netral
WiFi kurang perawatan dari kampus,negatif
Perpustakaan bau tidak sedap dan kotor,negatif
Kamar Mandi cukup bagus dan terawat,positif
Ruang Kelas wifi sering lambat dan putus-putus,negatif
Ruang Kelas standar seperti biasanya,netral
Ruang Kelas wifi sering lambat dan putus-putus,negatif
Perpustakaan akses mudah dan nyaman,positif
Ruang Kelas standar seperti biasanya,netral
Perpustakaan cukup bagus dan terawat,positif
Lingkungan akses mudah dan nyaman,positif
Kamar Mandi kotor dan kurang terawat,negatif
Perpustakaan kondisi sangat baik,positif
Perpustakaan sangat buruk dan tidak layak,negatif
WiFi kondisi sangat baik,positif
WiFi bersih dan enak digunakan,positif
Kamar Mandi sangat buruk dan tidak layak,negatif
Lingkungan sangat bersih dan nyaman,positif
Ruang Kelas wifi sering lambat dan putus-putus,negatif
Ruang Kelas cukup bagus dan terawat,positif
Perpustakaan fasilitasnya memadai untuk belajar,positif
Ruang Kelas cukup untuk kebutuhan mahasiswa,netral
WiFi akses mudah dan nyaman,positif
Parkiran kondisi sangat baik,positif
Perpustakaan akses mudah dan nyaman,positif
WiFi standar seperti biasanya,netral
Kamar Mandi sangat bersih dan nyaman,positif
Parkiran sangat buruk dan tidak layak,negatif
WiFi kurang perawatan dari kampus,negatif
WiFi kondisi sangat baik,positif
WiFi sangat buruk dan tidak layak,negatif
Ruang Kelas bersih dan enak digunakan,positif
WiFi fasilitasnya memadai untuk belajar,positif
Kamar Mandi sangat buruk dan tidak layak,negatif
Kamar Mandi perlu peningkatan ke depan,netral
Parkiran kotor dan kurang terawat,negatif
Ruang Kelas kondisi sangat baik,positif
Kamar Mandi sangat buruk dan tidak layak,negatif
Perpustakaan bau tidak sedap dan kotor,negatif
Kamar Mandi fasilitasnya memadai untuk belajar,positif
Ruang Kelas biasa saja tidak terlalu bagus,netral
Parkiran sangat bersih dan nyaman,positif
WiFi tidak terlalu buruk dan tidak terlalu baik,netral
Perpustakaan biasa saja tidak terlalu bagus,netral
Kamar Mandi biasa saja tidak terlalu bagus,netral
Lingkungan kondisi sangat baik,positif
WiFi tidak terlalu buruk dan tidak terlalu baik,netral
Parkiran biasa saja tidak terlalu bagus,netral
WiFi kondisi sangat baik,positif
Ruang Kelas sangat bersih dan nyaman,positif
Lingkungan bersih dan enak digunakan,positif
WiFi cukup bagus dan terawat,positif
Kamar Mandi cukup bagus dan terawat,positif
Lingkungan sangat bersih dan nyaman,positif
WiFi akses mudah dan nyaman,positif
Lingkungan wifi sering lambat dan putus-putus,negatif
WiFi standar seperti biasanya,netral
WiFi fasilitasnya memadai untuk belajar,positif
Ruang Kelas bersih dan enak digunakan,positif
WiFi cukup untuk kebutuhan mahasiswa,netral
Lingkungan wifi sering lambat dan putus-putus,negatif
Ruang Kelas akses mudah dan nyaman,positif
Kamar Mandi kondisi sangat baik,positif
Lingkungan akses mudah dan nyaman,positif
Parkiran kondisi lumayan,netral
Parkiran sangat buruk dan tidak layak,negatif
Lingkungan kondisi sangat baik,positif
WiFi kurang perawatan dari kampus,negatif
Ruang Kelas cukup untuk kebutuhan mahasiswa,netral
Perpustakaan bersih dan enak digunakan,positif
WiFi sangat buruk dan tidak layak,negatif
Perpustakaan bersih dan enak digunakan,positif
Parkiran kondisi lumayan,netral
Parkiran perlu peningkatan ke depan,netral
Perpustakaan akses mudah dan nyaman,positif
Ruang Kelas cukup bagus dan terawat,positif
Lingkungan perlu peningkatan ke depan,netral
Parkiran bersih dan enak digunakan,positif
Lingkungan wifi sering lambat dan putus-putus,negatif
Lingkungan kondisi lumayan,netral
Kamar Mandi sangat buruk dan tidak layak,negatif
Perpustakaan wifi sering lambat dan putus-putus,negatif
WiFi cukup bagus dan terawat,positif
Parkiran cukup bagus dan terawat,positif
Kamar Mandi cukup bagus dan terawat,positif
Lingkungan kotor dan kurang terawat,negatif
Lingkungan kurang perawatan dari kampus,negatif
Perpustakaan kondisi sangat baik,positif
Lingkungan sering rusak dan tidak nyaman,negatif
Kamar Mandi kotor dan kurang terawat,negatif
Ruang Kelas biasa saja tidak terlalu bagus,netral
Kamar Mandi kondisi lumayan,netral
Perpustakaan wifi sering lambat dan putus-putus,negatif
